heart	kidney	liver
ENSCATG00000000386	2.969077	4.654848	4.160524941
ENSCATG00000000387	0.3230922	0.4301525	0.330529718
ENSCATG00000000417	0.3414302	0.725667	8.424136889
ENSCATG00000000421	0	0.4512834	0
ENSCATG00000000430	0.06664005	2.633236	0.067505592
ENSCATG00000000431	3.385915	5.129732	2.346077535
ENSCATG00000000432	8.484691	8.539106	7.262342009
ENSCATG00000000447	5.162383	5.429234	4.204743279
ENSCATG00000000449	3.990674	5.337536	4.119347876
ENSCATG00000000450	5.363809	5.987935	5.337282929
ENSCATG00000000460	0	0.1143761	0
ENSCATG00000000461	2.034515	2.205758	1.683858117
ENSCATG00000000462	3.560159	3.252752	0.700446377
ENSCATG00000000491	1.979839	1.838335	0.819869248
ENSCATG00000000492	0	0	0.974212839
ENSCATG00000000513	3.736454	3.949101	1.440438475
ENSCATG00000000514	3.39045	4.603413	4.290699307
ENSCATG00000000530	5.164903	6.124272	5.30628047
ENSCATG00000000540	1.498797	1.12729	0.428211013
ENSCATG00000000551	2.823293	4.007123	1.760304418
ENSCATG00000000567	1.387674	1.324159	5.669253587
ENSCATG00000000592	5.787874	6.40345	4.918920467
ENSCATG00000000611	7.134502	6.913991	6.508268591
ENSCATG00000000613	0	1.058136	0.560865574
ENSCATG00000000627	3.924157	4.186239	2.917811714
ENSCATG00000000628	3.853261	5.844036	4.394599198
ENSCATG00000000632	3.603668	3.774397	3.089847257
ENSCATG00000000636	0.54092	1.378301	1.528821331
ENSCATG00000000641	4.839773	4.99776	4.766722889
ENSCATG00000000642	2.988364	3.426831	2.728547047
ENSCATG00000000663	2.85895	3.772465	2.446890082
ENSCATG00000000664	0.3984066	0.5369511	1.598983507
ENSCATG00000000698	0.2828371	0.9663891	0.221958723
ENSCATG00000000699	3.952259	5.047852	2.64130556
ENSCATG00000000704	0.7668292	1.428641	0.51877582
ENSCATG00000000715	6.979605	7.582548	6.80153377
ENSCATG00000000717	4.473493	3.93999	2.565580117
ENSCATG00000000718	0	0.2337384	0
ENSCATG00000000732	0	0	0.47253768
ENSCATG00000000743	2.96338	2.440434	1.727698317
ENSCATG00000000745	1.107915	1.216753	0.712792968
ENSCATG00000000746	5.876271	5.761647	4.215406027
ENSCATG00000000776	4.226777	5.21787	4.392471989
ENSCATG00000000794	0.02068439	3.137164	0.931618011
ENSCATG00000000810	5.899857	3.526883	2.225126827
ENSCATG00000000813	3.531532	0.262818	0.096768074
ENSCATG00000000823	0.1303222	0.281417	0.131587904
ENSCATG00000000828	0.9144956	1.070403	0.637627865
ENSCATG00000000846	0.762473	1.879986	0.90756062
ENSCATG00000000865	0	1.639552	1.161939264
ENSCATG00000000876	3.381818	3.989702	3.385226698
ENSCATG00000000891	1.925897	0	0
ENSCATG00000000894	0	0.2702538	0
ENSCATG00000000895	1.865582	0.8277605	0.545001637
ENSCATG00000000896	0.4783154	0	0
ENSCATG00000000907	5.126386	5.303544	4.138055085
ENSCATG00000000908	1.984042	2.19928	0
ENSCATG00000000909	0.2213995	0.1696493	0.086927349
ENSCATG00000000926	4.061387	4.941157	5.269646236
ENSCATG00000000927	0	0.8187868	0.291946511
ENSCATG00000000939	0.3348929	3.432247	0.335587984
ENSCATG00000000940	2.151609	2.159764	1.857752534
ENSCATG00000000941	2.645107	2.13779	1.011660938
ENSCATG00000000945	4.266007	2.903081	0.955478715
ENSCATG00000000946	9.472522	6.975063	5.821909057
ENSCATG00000000957	0.5226946	0	0
ENSCATG00000000958	3.148326	2.907306	2.14146222
ENSCATG00000000959	2.627727	2.826397	2.613167161
ENSCATG00000000961	2.094874	1.609287	1.157832771
ENSCATG00000000994	0.2144208	0	0
ENSCATG00000000995	2.940437	2.69708	2.456900749
ENSCATG00000001003	4.788634	5.346893	2.250167266
ENSCATG00000001027	1.767057	0.78774	1.54214907
ENSCATG00000001043	2.83497	2.940783	2.06290227
ENSCATG00000001056	3.398821	4.574828	2.610508493
ENSCATG00000001081	6.073475	6.420516	4.71517404
ENSCATG00000001082	6.187815	6.894624	3.905986223
ENSCATG00000001087	0.4061176	1.659979	0.427719868
ENSCATG00000001104	3.740841	3.471005	2.253850132
ENSCATG00000001113	4.624043	4.456651	3.594241586
ENSCATG00000001114	5.220481	5.045955	4.203855781
ENSCATG00000001137	0.5634188	0.643991	1.18560652
ENSCATG00000001149	0	0.1057565	0
ENSCATG00000001153	3.075777	4.146932	2.957714056
ENSCATG00000001154	0.04217027	0.3463	0
ENSCATG00000001155	4.956809	5.350481	4.076343598
ENSCATG00000001206	4.959545	5.248446	4.262557186
ENSCATG00000001207	1.191853	1.022971	0
ENSCATG00000001220	4.048463	3.844345	4.222333167
ENSCATG00000001221	4.356559	4.230541	1.910053361
ENSCATG00000001243	6.064221	7.333039	5.404385787
ENSCATG00000001260	4.499706	6.472125	1.284958244
ENSCATG00000001267	0.78875	2.069688	0.378238595
ENSCATG00000001281	2.069089	3.052061	1.440893107
ENSCATG00000001282	3.849759	4.224812	2.679112975
ENSCATG00000001287	8.337939	4.596995	4.585713709
ENSCATG00000001298	8.907846	8.655831	6.691952843
ENSCATG00000001300	2.05252	2.260297	2.320582876
ENSCATG00000001301	0.2822797	1.439485	0.875954591
ENSCATG00000001316	1.386099	1.652766	1.188204669
ENSCATG00000001317	6.061403	4.682961	4.742739233
ENSCATG00000001339	2.012064	2.505754	1.198418717
ENSCATG00000001356	7.098555	7.317394	6.852620516
ENSCATG00000001407	0.972664	4.638346	5.83568411
ENSCATG00000001429	0.1531049	0.1838612	0.15830083
ENSCATG00000001443	0.1706032	0.4133179	0.119804223
ENSCATG00000001444	0.2415486	5.749561	8.584321223
ENSCATG00000001460	0	0.1060445	0
ENSCATG00000001461	2.122659	2.687762	2.320473125
ENSCATG00000001473	4.152898	4.933457	4.191366035
ENSCATG00000001530	0	0.1049508	0
ENSCATG00000001531	3.247947	3.621009	2.791482786
ENSCATG00000001546	4.855506	4.556344	3.504035569
ENSCATG00000001547	2.55394	3.055754	2.077301116
ENSCATG00000001548	4.466835	5.267507	4.945307579
ENSCATG00000001549	1.151774	1.584328	0.785636755
ENSCATG00000001552	2.82261	3.89275	3.290534991
ENSCATG00000001553	7.805521	7.693886	6.29722176
ENSCATG00000001588	1.700409	1.515929	1.163241085
ENSCATG00000001609	2.96412	2.133971	1.166471226
ENSCATG00000001642	2.110691	1.131965	0.111687322
ENSCATG00000001664	0.2481838	0.8713895	0.12286405
ENSCATG00000001665	4.402743	4.861955	4.591511875
ENSCATG00000001666	4.17604	3.924851	2.796215643
ENSCATG00000001677	2.748236	4.326949	3.979065013
ENSCATG00000001678	3.490673	3.25792	2.647751972
ENSCATG00000001679	6.191085	7.32337	5.533385804
ENSCATG00000001680	4.598622	4.780258	3.035799837
ENSCATG00000001690	3.064199	4.470669	4.222141783
ENSCATG00000001692	4.405356	5.464103	5.459883472
ENSCATG00000001700	2.131175	2.997786	1.785843455
ENSCATG00000001736	2.287106	0	4.086512047
ENSCATG00000001750	7.4707	7.505184	6.755181355
ENSCATG00000001771	5.596074	5.530054	3.659410849
ENSCATG00000001805	3.436977	3.510886	2.736020319
ENSCATG00000001827	3.116495	3.565768	3.688236319
ENSCATG00000001828	5.971461	5.096828	2.429474834
ENSCATG00000001829	5.179802	5.670821	4.98264683
ENSCATG00000001855	7.368934	7.906891	7.011137783
ENSCATG00000001865	2.67989	1.668618	1.54214907
ENSCATG00000001876	1.309782	0.8968833	0
ENSCATG00000001877	1.088718	0.5609751	0
ENSCATG00000001899	0.3630632	1.571272	0.777707121
ENSCATG00000001922	3.095788	3.359073	2.632489257
ENSCATG00000001923	0.9257557	0	0
ENSCATG00000001924	6.429363	7.806131	5.482877317
ENSCATG00000001933	0.4025366	1.414066	0.111593186
ENSCATG00000001970	1.092381	2.870271	0.646541488
ENSCATG00000001971	0.05270051	3.514107	0.379762452
ENSCATG00000001983	0.3217469	0.0360696	0.077159443
ENSCATG00000001985	3.189753	3.462838	3.079176692
ENSCATG00000001994	1.421102	0.8868474	0.996166721
ENSCATG00000002007	2.291111	2.961364	2.578999076
ENSCATG00000002008	2.762011	4.699918	5.343382948
ENSCATG00000002010	0.3155257	1.557645	0
ENSCATG00000002011	0	0.2579122	0.224644153
ENSCATG00000002012	0.9847395	1.228904	0.245746333
ENSCATG00000002013	4.088799	3.245552	2.596095512
ENSCATG00000002030	2.446402	2.485509	0.660209417
ENSCATG00000002031	5.088994	6.66687	5.989452405
ENSCATG00000002038	5.159139	4.118362	2.542097053
ENSCATG00000002045	7.595683	8.103382	6.638768944
ENSCATG00000002046	1.337586	0.6893546	0.082784462
ENSCATG00000002053	2.726946	3.766023	2.168276181
ENSCATG00000002054	5.435889	6.010174	5.169342195
ENSCATG00000002055	7.491132	5.437037	3.923271326
ENSCATG00000002086	5.703796	6.081836	5.181408713
ENSCATG00000002114	3.881293	3.485195	3.088087308
ENSCATG00000002143	0.05755938	0.2089654	0.06153968
ENSCATG00000002145	6.347598	4.260541	1.060598962
ENSCATG00000002146	4.688099	4.519269	3.037037762
ENSCATG00000002153	2.455389	2.626211	0.177000552
ENSCATG00000002158	4.826867	5.163527	2.559179746
ENSCATG00000002169	0	0.9963519	0
ENSCATG00000002170	6.660096	7.232574	5.782243421
ENSCATG00000002188	0.3428551	2.805472	1.125260953
ENSCATG00000002189	7.901175	4.654573	2.881652874
ENSCATG00000002190	2.474563	4.855483	3.734000697
ENSCATG00000002205	0.1819879	0.1151542	0
ENSCATG00000002218	0.2341101	0	0
ENSCATG00000002220	0.04406448	0.03528649	0
ENSCATG00000002241	7.416139	4.076063	3.01191064
ENSCATG00000002242	6.867958	5.9123	3.869466763
ENSCATG00000002243	0.244505	0.06114936	0.335623654
ENSCATG00000002254	4.000862	4.057348	3.573026172
ENSCATG00000002256	0.7477517	0.8322541	0.150359505
ENSCATG00000002257	0	0.8345519	0
ENSCATG00000002258	3.246525	3.564317	2.933978575
ENSCATG00000002261	3.454562	3.809416	3.059331048
ENSCATG00000002278	0	0.09109995	0
ENSCATG00000002279	10.04286	10.2017	9.34576449
ENSCATG00000002285	0	1.008508	1.471223885
ENSCATG00000002309	0.7221643	1.142975	0.214178284
ENSCATG00000002310	5.893248	6.205803	5.230679528
ENSCATG00000002311	2.754625	4.03831	1.818928255
ENSCATG00000002340	5.744971	6.164824	5.281397812
ENSCATG00000002341	1.088901	1.490575	0.481366114
ENSCATG00000002342	5.284591	4.852368	4.071081999
ENSCATG00000002351	4.982389	2.279813	1.090650984
ENSCATG00000002364	1.460082	5.353888	4.863888906
ENSCATG00000002399	0.8373887	1.116385	0.285447201
ENSCATG00000002410	3.908755	4.389987	3.633268448
ENSCATG00000002411	3.719085	4.105259	3.811265504
ENSCATG00000002412	6.449994	7.406867	7.214273459
ENSCATG00000002432	3.737665	2.20804	1.512949949
ENSCATG00000002456	0.8399894	1.686258	1.68009927
ENSCATG00000002457	8.319808	7.707973	7.494743604
ENSCATG00000002458	1.426565	1.536177	1.670509529
ENSCATG00000002460	1.348709	1.384122	1.173083288
ENSCATG00000002487	7.204742	5.60577	4.117902955
ENSCATG00000002489	1.512161	0.7955883	0.047935197
ENSCATG00000002490	0.2274589	0	0
ENSCATG00000002501	8.004404	0.6009795	0.354388967
ENSCATG00000002510	3.394682	3.760285	2.869614817
ENSCATG00000002511	5.607043	5.22788	6.114212918
ENSCATG00000002512	0	0.1653074	1.450203545
ENSCATG00000002531	5.787874	6.382939	5.676518481
ENSCATG00000002535	2.676919	2.946742	1.822277387
ENSCATG00000002544	6.074234	6.54053	5.863480847
ENSCATG00000002549	2.435437	3.853048	2.839022337
ENSCATG00000002554	0	0.3314346	0
ENSCATG00000002555	2.589294	5.482568	4.016567633
ENSCATG00000002565	5.651829	5.586176	5.639402938
ENSCATG00000002581	2.31915	2.735423	2.186744578
ENSCATG00000002584	2.933452	4.026233	1.467952407
ENSCATG00000002585	5.503371	4.330293	2.061579217
ENSCATG00000002586	1.820285	2.461963	1.84317989
ENSCATG00000002587	2.612095	2.684974	0.868756291
ENSCATG00000002594	6.279791	6.088381	4.987658759
ENSCATG00000002619	4.58461	5.588511	3.73514965
ENSCATG00000002631	6.033652	6.036297	5.204997532
ENSCATG00000002642	0	0	4.738551687
ENSCATG00000002643	1.487687	0.7504676	0.405905251
ENSCATG00000002644	3.209539	4.45345	2.615818821
ENSCATG00000002646	5.284603	5.466823	4.426251334
ENSCATG00000002647	5.618448	5.973205	8.708606834
ENSCATG00000002654	0	0.3203125	0
ENSCATG00000002680	2.323496	1.857506	0.845818396
ENSCATG00000002681	2.258532	3.797659	3.758316397
ENSCATG00000002686	0.3153796	0.09918773	0.08773669
ENSCATG00000002702	3.774713	4.132256	3.396325291
ENSCATG00000002724	5.008442	5.837873	4.500438785
ENSCATG00000002737	2.492827	3.007267	2.14135104
ENSCATG00000002745	1.731318	2.482337	1.372110745
ENSCATG00000002747	3.362217	4.141408	3.398266904
ENSCATG00000002768	3.368634	7.313545	7.383738848
ENSCATG00000002770	5.904224	6.612323	5.345034379
ENSCATG00000002772	3.956601	5.050747	4.097623437
ENSCATG00000002793	3.546024	2.553247	2.149545535
ENSCATG00000002794	3.684549	4.048751	3.495452135
ENSCATG00000002800	4.810994	4.829068	3.276611749
ENSCATG00000002815	1.431987	2.695842	0.724179628
ENSCATG00000002831	4.029836	4.357935	3.750983743
ENSCATG00000002834	8.447716	7.828625	7.178549331
ENSCATG00000002853	3.528321	0	0
ENSCATG00000002864	2.044625	0	0
ENSCATG00000002865	6.124115	0.1237326	0.202361674
ENSCATG00000002890	3.418368	7.43791	5.070166036
ENSCATG00000002905	0	0	0.127299804
ENSCATG00000002907	2.678216	3.74585	2.527002755
ENSCATG00000002927	0	0.3210934	0
ENSCATG00000002956	3.40869	2.737858	1.499567843
ENSCATG00000002961	2.423422	1.043387	0.947684857
ENSCATG00000002962	5.646035	6.283637	5.083938364
ENSCATG00000002964	6.761178	6.625395	5.777616971
ENSCATG00000002971	2.269072	2.705811	2.817127335
ENSCATG00000002977	0.9300038	0.6689605	0.601720284
ENSCATG00000002978	3.816938	5.253131	3.708639732
ENSCATG00000002979	3.75171	0	0.526751926
ENSCATG00000002994	5.005616	5.95038	3.013040556
ENSCATG00000003002	2.993188	3.17097	2.580386718
ENSCATG00000003005	1.343681	0.9548901	1.482574687
ENSCATG00000003006	5.430861	5.109787	4.421357967
ENSCATG00000003007	1.695936	0.2940672	0.100343799
ENSCATG00000003043	0	1.952397	0
ENSCATG00000003044	3.175549	3.857732	3.386328128
ENSCATG00000003045	4.564372	6.093343	5.029293854
ENSCATG00000003060	0.8012845	1.377912	0.89945486
ENSCATG00000003062	2.767976	7.122549	3.899954572
ENSCATG00000003063	5.357011	5.683011	5.194585493
ENSCATG00000003075	1.898456	4.037312	1.351419146
ENSCATG00000003077	4.016247	4.513876	4.10611377
ENSCATG00000003083	1.506043	3.16586	1.733480164
ENSCATG00000003084	0.02930615	0.0669311	0.058546754
ENSCATG00000003092	4.519353	3.562621	3.723230887
ENSCATG00000003094	0	0	0.094476476
ENSCATG00000003095	0.07363778	0.04323222	0
ENSCATG00000003100	5.714103	5.496328	3.769560185
ENSCATG00000003122	3.265741	5.166888	2.734904676
ENSCATG00000003132	6.991901	7.469168	6.578990927
ENSCATG00000003134	6.04634	5.697616	4.889825071
ENSCATG00000003149	5.9767	6.40131	4.947731605
ENSCATG00000003150	4.005061	4.59671	3.296516289
ENSCATG00000003164	2.579122	1.70107	0
ENSCATG00000003181	0	0.9741901	0
ENSCATG00000003182	5.821838	5.966551	5.214347294
ENSCATG00000003183	4.893987	5.545761	4.611517075
ENSCATG00000003184	2.498795	3.037085	2.414887812
ENSCATG00000003222	0.5581873	0.703207	1.304020325
ENSCATG00000003223	6.160171	6.837313	6.087702563
ENSCATG00000003226	0.1077031	0.05650792	0.032407269
ENSCATG00000003250	7.144291	7.762515	6.277715146
ENSCATG00000003251	4.009714	4.93806	3.667551559
ENSCATG00000003262	0.08573383	0	0.088249897
ENSCATG00000003284	4.520535	5.912894	3.019856671
ENSCATG00000003291	0.5031268	3.564999	0.811798991
ENSCATG00000003293	2.996983	2.530942	1.599532039
ENSCATG00000003294	5.290044	5.91545	5.576050736
ENSCATG00000003301	0.03663077	0.04277501	0.039187255
ENSCATG00000003303	3.630098	4.192167	2.977800116
ENSCATG00000003304	4.802245	7.224378	0
ENSCATG00000003305	0.287146	5.043336	0.12696744
ENSCATG00000003306	2.503763	3.082444	2.25245502
ENSCATG00000003311	7.856998	7.356082	6.957740518
ENSCATG00000003312	7.572776	5.14403	4.174470338
ENSCATG00000003334	5.459268	4.202183	3.749898918
ENSCATG00000003335	6.608862	6.242227	5.358245036
ENSCATG00000003341	1.764469	1.188319	0.975145905
ENSCATG00000003342	6.425312	5.970549	4.911386379
ENSCATG00000003348	3.801231	4.229365	3.703034235
ENSCATG00000003383	1.291427	1.621698	0.382855358
ENSCATG00000003400	7.292947	5.202813	3.207722654
ENSCATG00000003412	0	0.4189369	0
ENSCATG00000003417	0.08816182	1.05616	0.177556834
ENSCATG00000003423	2.120229	1.280903	0.935187402
ENSCATG00000003437	10.90238	8.972526	6.357050493
ENSCATG00000003438	5.043364	5.360588	1.083250137
ENSCATG00000003439	1.20593	1.456512	0.625188181
ENSCATG00000003450	6.802854	6.728877	5.348088978
ENSCATG00000003457	3.567168	4.044324	1.408347745
ENSCATG00000003464	6.511473	6.81715	5.957336569
ENSCATG00000003472	2.539553	3.09098	2.53757439
ENSCATG00000003473	2.679712	3.86764	1.330357613
ENSCATG00000003504	4.983463	5.431586	4.2025431
ENSCATG00000003510	2.393658	2.8469	2.093948854
ENSCATG00000003511	0.9269376	2.561275	0
ENSCATG00000003513	0.06300088	0.2723804	0
ENSCATG00000003532	0	0	0.03390756
ENSCATG00000003551	3.381708	2.453662	0.091477921
ENSCATG00000003553	0.1261107	0	0
ENSCATG00000003554	2.987834	2.532112	4.720967904
ENSCATG00000003560	0	1.94442	0.881232333
ENSCATG00000003568	0.06853503	0.4000728	0.012824482
ENSCATG00000003569	4.877493	4.72188	4.580015316
ENSCATG00000003591	3.620973	3.592062	5.114021303
ENSCATG00000003592	4.457634	5.182224	3.441224504
ENSCATG00000003607	4.452134	4.525367	3.951261398
ENSCATG00000003608	5.463521	6.660324	4.933081585
ENSCATG00000003610	4.996041	5.172692	4.7748503
ENSCATG00000003617	3.566841	4.069524	3.158301476
ENSCATG00000003650	3.137224	3.908912	3.747728965
ENSCATG00000003651	0.0885605	0.9562515	0.178834449
ENSCATG00000003666	2.183461	0	0
ENSCATG00000003667	2.05815	4.224294	2.229190127
ENSCATG00000003669	0	2.604479	0
ENSCATG00000003671	3.37112	3.474176	2.685884099
ENSCATG00000003679	0.1956181	0.2347797	4.822581181
ENSCATG00000003725	4.407285	6.864917	4.07962558
ENSCATG00000003729	3.906227	3.964561	3.366326411
ENSCATG00000003735	1.20588	3.290793	0.087734246
ENSCATG00000003736	2.467534	8.306214	3.803537864
ENSCATG00000003737	3.46405	4.424555	3.817606886
ENSCATG00000003748	0.07310591	0.1830748	0.129385898
ENSCATG00000003751	5.240055	4.943775	4.297398633
ENSCATG00000003757	0	0	0.192721899
ENSCATG00000003758	0	0.6096217	5.849156107
ENSCATG00000003763	4.244986	6.795572	3.495669583
ENSCATG00000003768	2.927253	3.124671	2.614834676
ENSCATG00000003770	0.519098	0.4252842	0.371085971
ENSCATG00000003773	3.740191	5.524808	2.585035836
ENSCATG00000003789	3.172108	3.531444	2.810656973
ENSCATG00000003839	0	0	0.164838013
ENSCATG00000003840	3.088008	3.726156	3.176862884
ENSCATG00000003841	0.0145474	0.3939104	0
ENSCATG00000003842	6.459492	7.043023	5.637017502
ENSCATG00000003844	0.4779177	1.358182	0.547930483
ENSCATG00000003846	2.951207	3.280961	2.415599139
ENSCATG00000003870	6.217587	1.586097	0.296846185
ENSCATG00000003873	2.475098	2.469188	2.246015815
ENSCATG00000003875	1.205031	2.439794	0.485580363
ENSCATG00000003876	4.167342	3.673489	2.263061456
ENSCATG00000003877	0.1643396	1.738245	0
ENSCATG00000003907	3.272202	3.788014	2.103038321
ENSCATG00000003950	0	1.557503	0.649427839
ENSCATG00000003951	2.736351	2.069953	1.730444323
ENSCATG00000003961	1.862539	0.9359108	1.41013755
ENSCATG00000003978	1.408266	1.594214	1.241702923
ENSCATG00000003985	0	3.29844	0.161757431
ENSCATG00000003993	1.746493	1.422723	0.381173712
ENSCATG00000003994	2.104202	1.949513	2.092984065
ENSCATG00000004001	1.600352	3.095808	1.489488455
ENSCATG00000004004	2.716091	2.287401	1.098352178
ENSCATG00000004021	3.652016	3.925221	5.242796834
ENSCATG00000004022	5.339084	6.126263	5.661880686
ENSCATG00000004037	2.187103	1.917951	2.343967735
ENSCATG00000004038	3.450984	7.141362	3.339769552
ENSCATG00000004056	0.2530962	0.04615184	0.058945117
ENSCATG00000004074	2.936953	3.397854	1.869275259
ENSCATG00000004075	1.101239	2.234077	1.85523627
ENSCATG00000004076	6.494961	7.66572	6.89256103
ENSCATG00000004093	5.167298	5.247248	4.57963273
ENSCATG00000004097	9.567277	8.526362	7.583263328
ENSCATG00000004098	0.2357369	0.2665815	0
ENSCATG00000004107	2.16465	6.216142	2.711045509
ENSCATG00000004122	7.314579	7.675616	7.31714033
ENSCATG00000004123	6.429082	5.95598	5.210727833
ENSCATG00000004125	1.441553	2.469107	0.46889502
ENSCATG00000004130	6.973979	6.610217	8.451551099
ENSCATG00000004142	0.7137891	3.746807	1.402130845
ENSCATG00000004144	6.283582	5.901651	3.910794536
ENSCATG00000004145	0	1.307755	0
ENSCATG00000004198	1.948814	1.977811	1.920659169
ENSCATG00000004199	0.6945344	0.8374136	0.530598536
ENSCATG00000004216	3.711224	4.394153	3.705441628
ENSCATG00000004217	5.669064	6.442019	5.284859627
ENSCATG00000004218	3.694662	4.406052	2.888700394
ENSCATG00000004245	0.08296726	2.14388	0.241121402
ENSCATG00000004246	5.624171	6.420294	6.059385564
ENSCATG00000004267	1.986833	4.377686	2.562752849
ENSCATG00000004268	6.522324	7.441749	7.752661631
ENSCATG00000004269	3.16664	2.851118	1.12507576
ENSCATG00000004272	3.202551	2.984323	2.972058648
ENSCATG00000004292	0.4169348	1.1134	0.446944324
ENSCATG00000004302	4.875067	5.022758	3.297361653
ENSCATG00000004303	4.540242	5.292496	6.975253805
ENSCATG00000004304	3.830803	3.831096	2.385638108
ENSCATG00000004327	1.678563	2.077007	1.722116238
ENSCATG00000004329	8.804993	8.824005	8.140648816
ENSCATG00000004344	0.079077	0	0
ENSCATG00000004345	0	0	0.105229512
ENSCATG00000004362	2.600396	3.061562	2.730216051
ENSCATG00000004363	5.514258	5.563585	5.258685496
ENSCATG00000004383	0.7717867	1.644844	1.516630431
ENSCATG00000004406	2.381261	2.836203	1.700271024
ENSCATG00000004408	0	0.7544754	0.556725649
ENSCATG00000004423	6.014779	4.945205	4.469602422
ENSCATG00000004424	7.459278	7.581849	6.370774576
ENSCATG00000004425	0	0.07876011	0
ENSCATG00000004430	0.05038816	0.2893544	0.520947181
ENSCATG00000004442	0	0.07543528	0
ENSCATG00000004444	3.278523	3.430953	1.583880555
ENSCATG00000004445	2.22439	3.298352	0.285580954
ENSCATG00000004483	1.929401	1.97765	1.692592349
ENSCATG00000004493	0.1643049	2.981542	0.126224628
ENSCATG00000004503	0	0.1121674	0
ENSCATG00000004525	6.605542	6.655808	5.109602939
ENSCATG00000004527	0.7834323	0.3247392	0
ENSCATG00000004547	6.044324	7.257737	6.258963574
ENSCATG00000004548	5.250783	5.982494	5.908530621
ENSCATG00000004565	1.359201	2.20174	0.657575071
ENSCATG00000004566	0.7841915	1.943468	0.687936792
ENSCATG00000004601	1.532686	3.730966	1.065896244
ENSCATG00000004633	3.81258	6.300367	4.182072505
ENSCATG00000004634	2.089688	1.956599	1.388713056
ENSCATG00000004635	2.557189	4.424062	2.780967247
ENSCATG00000004637	4.426124	4.907093	4.224109752
ENSCATG00000004639	3.517213	3.319901	3.21812708
ENSCATG00000004643	6.808639	6.05719	5.195113535
ENSCATG00000004647	11.5403	10.64815	9.651616815
ENSCATG00000004648	1.744303	1.776247	0.957595945
ENSCATG00000004670	0.5421491	0.6253462	0
ENSCATG00000004671	0.6329847	3.544053	8.275826528
ENSCATG00000004694	10.63079	1.731848	0.865842819
ENSCATG00000004696	3.934677	4.271695	3.931162988
ENSCATG00000004708	5.022201	5.682829	4.207084232
ENSCATG00000004709	5.052611	5.425236	3.431649674
ENSCATG00000004720	2.283811	2.270694	3.22867803
