	Anolis_carolinensis	Astyanax_mexicanus	Bos_taurus	Callithrix_jacchus	Canis_lupus	Chinchilla_lanigera	Danio_rerio	Gadus_morhua	Gallus_gallus	Homo_sapiens	Macaca_mulatta	Monodelphis_domestica	Mus_musculus	Oreochromis_niloticus	Ornithorhynchus_anatinus	Oryctolagus_cuniculus	Oryzias_latipes	Ovis_aries	Rattus_norvegicus	Sus_scrofa	Xenopus_tropicalis
OG0018036	Anolis_carolinensis_ENSACAG00000023944																				
OG0018037	Anolis_carolinensis_ENSACAG00000027796																				
OG0018038	Anolis_carolinensis_ENSACAG00000028432																				
OG0018039	Anolis_carolinensis_ENSACAG00000023365																				
OG0018040	Anolis_carolinensis_ENSACAG00000026004																				
OG0018041	Anolis_carolinensis_ENSACAG00000029188																				
OG0018042	Anolis_carolinensis_ENSACAG00000027847																				
OG0018043	Anolis_carolinensis_ENSACAG00000022750																				
OG0018044	Anolis_carolinensis_ENSACAG00000028977																				
OG0018045	Anolis_carolinensis_ENSACAG00000011921																				
OG0018046	Anolis_carolinensis_ENSACAG00000026813																				
OG0018047	Anolis_carolinensis_ENSACAG00000012030																				
OG0018048	Anolis_carolinensis_ENSACAG00000000526																				
OG0018049	Anolis_carolinensis_ENSACAG00000012836																				
OG0018050	Anolis_carolinensis_ENSACAG00000010852																				
OG0018051	Anolis_carolinensis_ENSACAG00000028089																				
OG0018052	Anolis_carolinensis_ENSACAG00000027856																				
OG0018053	Anolis_carolinensis_ENSACAG00000009493																				
OG0018054	Anolis_carolinensis_ENSACAG00000017810																				
OG0018055	Anolis_carolinensis_ENSACAG00000025900																				
OG0018056	Anolis_carolinensis_ENSACAG00000025286																				
OG0018057	Anolis_carolinensis_ENSACAG00000000983																				
OG0018058	Anolis_carolinensis_ENSACAG00000009908																				
OG0018059	Anolis_carolinensis_ENSACAG00000010136																				
OG0018060	Anolis_carolinensis_ENSACAG00000025407																				
OG0018061	Anolis_carolinensis_ENSACAG00000003034																				
OG0018062	Anolis_carolinensis_ENSACAG00000028534																				
OG0018063	Anolis_carolinensis_ENSACAG00000024077																				
OG0018064	Anolis_carolinensis_ENSACAG00000011465																				
OG0018065	Anolis_carolinensis_ENSACAG00000023162																				
OG0018066	Anolis_carolinensis_ENSACAG00000028119																				
OG0018067	Anolis_carolinensis_ENSACAG00000002869																				
OG0018068	Anolis_carolinensis_ENSACAG00000026774																				
OG0018069	Anolis_carolinensis_ENSACAG00000024056																				
OG0018070	Anolis_carolinensis_ENSACAG00000023493																				
OG0018071	Anolis_carolinensis_ENSACAG00000025889																				
OG0018072	Anolis_carolinensis_ENSACAG00000025436																				
OG0018073	Anolis_carolinensis_ENSACAG00000000884																				
OG0018074	Anolis_carolinensis_ENSACAG00000016851																				
OG0018075	Anolis_carolinensis_ENSACAG00000028933																				
OG0018076	Anolis_carolinensis_ENSACAG00000023776																				
OG0018077	Anolis_carolinensis_ENSACAG00000023870																				
OG0018078	Anolis_carolinensis_ENSACAG00000024793																				
OG0018079	Anolis_carolinensis_ENSACAG00000029381																				
OG0018080	Anolis_carolinensis_ENSACAG00000007937																				
OG0018081	Anolis_carolinensis_ENSACAG00000026707																				
OG0018082	Anolis_carolinensis_ENSACAG00000008108																				
OG0018083	Anolis_carolinensis_ENSACAG00000003223																				
OG0018084	Anolis_carolinensis_ENSACAG00000010444																				
OG0018085	Anolis_carolinensis_ENSACAG00000024251																				
OG0018086	Anolis_carolinensis_ENSACAG00000025292																				
OG0018087	Anolis_carolinensis_ENSACAG00000027324																				
OG0018088	Anolis_carolinensis_ENSACAG00000013208																				
OG0018089	Anolis_carolinensis_ENSACAG00000028778																				
OG0018090	Anolis_carolinensis_ENSACAG00000008106																				
OG0018091	Anolis_carolinensis_ENSACAG00000026583																				
OG0018092	Anolis_carolinensis_ENSACAG00000016554																				
OG0018093	Anolis_carolinensis_ENSACAG00000024732																				
OG0018094	Anolis_carolinensis_ENSACAG00000028336																				
OG0018095	Anolis_carolinensis_ENSACAG00000029554																				
OG0018096	Anolis_carolinensis_ENSACAG00000011193																				
OG0018097	Anolis_carolinensis_ENSACAG00000029514																				
OG0018098	Anolis_carolinensis_ENSACAG00000004678																				
OG0018099	Anolis_carolinensis_ENSACAG00000013512																				
OG0018100	Anolis_carolinensis_ENSACAG00000026507																				
OG0018101	Anolis_carolinensis_ENSACAG00000025978																				
OG0018102	Anolis_carolinensis_ENSACAG00000025702																				
OG0018103	Anolis_carolinensis_ENSACAG00000029094																				
OG0018104	Anolis_carolinensis_ENSACAG00000023972																				
OG0018105	Anolis_carolinensis_ENSACAG00000025042																				
OG0018106	Anolis_carolinensis_ENSACAG00000028795																				
OG0018107	Anolis_carolinensis_ENSACAG00000025047																				
OG0018108	Anolis_carolinensis_ENSACAG00000022234																				
OG0018109	Anolis_carolinensis_ENSACAG00000029432																				
OG0018110	Anolis_carolinensis_ENSACAG00000010016																				
OG0018111	Anolis_carolinensis_ENSACAG00000022997																				
OG0018112	Anolis_carolinensis_ENSACAG00000023123																				
OG0018113	Anolis_carolinensis_ENSACAG00000017377																				
OG0018114	Anolis_carolinensis_ENSACAG00000003054																				
OG0018115	Anolis_carolinensis_ENSACAG00000000258																				
OG0018116	Anolis_carolinensis_ENSACAG00000029402																				
OG0018117	Anolis_carolinensis_ENSACAG00000009904																				
OG0018118	Anolis_carolinensis_ENSACAG00000000738																				
OG0018119	Anolis_carolinensis_ENSACAG00000027613																				
OG0018120	Anolis_carolinensis_ENSACAG00000012370																				
OG0018121	Anolis_carolinensis_ENSACAG00000001505																				
OG0018122	Anolis_carolinensis_ENSACAG00000008752																				
OG0018123	Anolis_carolinensis_ENSACAG00000026170																				
OG0018124	Anolis_carolinensis_ENSACAG00000029183																				
OG0018125	Anolis_carolinensis_ENSACAG00000001019																				
OG0018126	Anolis_carolinensis_ENSACAG00000013592																				
OG0018127	Anolis_carolinensis_ENSACAG00000022760																				
OG0018128	Anolis_carolinensis_ENSACAG00000026427																				
OG0018129	Anolis_carolinensis_ENSACAG00000024229																				
OG0018130	Anolis_carolinensis_ENSACAG00000017901																				
OG0018131	Anolis_carolinensis_ENSACAG00000025457																				
OG0018132	Anolis_carolinensis_ENSACAG00000029307																				
OG0018133	Anolis_carolinensis_ENSACAG00000025637																				
OG0018134	Anolis_carolinensis_ENSACAG00000025135																				
OG0018135	Anolis_carolinensis_ENSACAG00000016503																				
OG0018136	Anolis_carolinensis_ENSACAG00000022969																				
OG0018137	Anolis_carolinensis_ENSACAG00000002597																				
OG0018138	Anolis_carolinensis_ENSACAG00000029047																				
OG0018139	Anolis_carolinensis_ENSACAG00000017845																				
OG0018140	Anolis_carolinensis_ENSACAG00000015266																				
OG0018141	Anolis_carolinensis_ENSACAG00000024115																				
OG0018142	Anolis_carolinensis_ENSACAG00000004811																				
OG0018143	Anolis_carolinensis_ENSACAG00000023386																				
OG0018144	Anolis_carolinensis_ENSACAG00000027993																				
OG0018145	Anolis_carolinensis_ENSACAG00000014797																				
OG0018146	Anolis_carolinensis_ENSACAG00000007873																				
OG0018147	Anolis_carolinensis_ENSACAG00000028566																				
OG0018148	Anolis_carolinensis_ENSACAG00000027154																				
OG0018149	Anolis_carolinensis_ENSACAG00000028084																				
OG0018150	Anolis_carolinensis_ENSACAG00000015609																				
OG0018151	Anolis_carolinensis_ENSACAG00000012480																				
OG0018152	Anolis_carolinensis_ENSACAG00000029636																				
OG0018153	Anolis_carolinensis_ENSACAG00000027776																				
OG0018154	Anolis_carolinensis_ENSACAG00000024368																				
OG0018155	Anolis_carolinensis_ENSACAG00000003235																				
OG0018156	Anolis_carolinensis_ENSACAG00000028319																				
OG0018157	Anolis_carolinensis_ENSACAG00000004377																				
OG0018158	Anolis_carolinensis_ENSACAG00000017751																				
OG0018159	Anolis_carolinensis_ENSACAG00000008924																				
OG0018160	Anolis_carolinensis_ENSACAG00000025675																				
OG0018161	Anolis_carolinensis_ENSACAG00000012221																				
OG0018162	Anolis_carolinensis_ENSACAG00000029336																				
OG0018163	Anolis_carolinensis_ENSACAG00000024973																				
OG0018164	Anolis_carolinensis_ENSACAG00000013490																				
OG0018165	Anolis_carolinensis_ENSACAG00000008963																				
OG0018166	Anolis_carolinensis_ENSACAG00000006823																				
OG0018167	Anolis_carolinensis_ENSACAG00000025380																				
OG0018168	Anolis_carolinensis_ENSACAG00000012571																				
OG0018169	Anolis_carolinensis_ENSACAG00000005955																				
OG0018170	Anolis_carolinensis_ENSACAG00000002264																				
OG0018171	Anolis_carolinensis_ENSACAG00000025668																				
OG0018172	Anolis_carolinensis_ENSACAG00000017642																				
OG0018173	Anolis_carolinensis_ENSACAG00000017641																				
OG0018174	Anolis_carolinensis_ENSACAG00000003245																				
OG0018175	Anolis_carolinensis_ENSACAG00000003230																				
OG0018176	Anolis_carolinensis_ENSACAG00000007834																				
OG0018177	Anolis_carolinensis_ENSACAG00000007856																				
OG0018178	Anolis_carolinensis_ENSACAG00000022575																				
OG0018179	Anolis_carolinensis_ENSACAG00000005054																				
OG0018180	Anolis_carolinensis_ENSACAG00000007089																				
OG0018181	Anolis_carolinensis_ENSACAG00000029629																				
OG0018182	Anolis_carolinensis_ENSACAG00000022003																				
OG0018183	Anolis_carolinensis_ENSACAG00000005294																				
OG0018184	Anolis_carolinensis_ENSACAG00000005248																				
OG0018185	Anolis_carolinensis_ENSACAG00000000320																				
OG0018186	Anolis_carolinensis_ENSACAG00000000374																				
OG0018187	Anolis_carolinensis_ENSACAG00000006755																				
OG0018188	Anolis_carolinensis_ENSACAG00000025085																				
OG0018189	Anolis_carolinensis_ENSACAG00000029061																				
OG0018190	Anolis_carolinensis_ENSACAG00000029315																				
OG0018191	Anolis_carolinensis_ENSACAG00000028339																				
OG0018192	Anolis_carolinensis_ENSACAG00000022970																				
OG0018193	Anolis_carolinensis_ENSACAG00000027453																				
OG0018194	Anolis_carolinensis_ENSACAG00000002520																				
OG0018195	Anolis_carolinensis_ENSACAG00000025007																				
OG0018196	Anolis_carolinensis_ENSACAG00000026332																				
OG0018197	Anolis_carolinensis_ENSACAG00000023461																				
OG0018198	Anolis_carolinensis_ENSACAG00000029634																				
OG0018199	Anolis_carolinensis_ENSACAG00000009721																				
OG0018200	Anolis_carolinensis_ENSACAG00000029450																				
OG0018201	Anolis_carolinensis_ENSACAG00000027824																				
OG0018202	Anolis_carolinensis_ENSACAG00000029449																				
OG0018203	Anolis_carolinensis_ENSACAG00000009824																				
OG0018204	Anolis_carolinensis_ENSACAG00000025929																				
OG0018205	Anolis_carolinensis_ENSACAG00000000632																				
OG0018206	Anolis_carolinensis_ENSACAG00000005543																				
OG0018207	Anolis_carolinensis_ENSACAG00000028526																				
OG0018208	Anolis_carolinensis_ENSACAG00000002087																				
OG0018209	Anolis_carolinensis_ENSACAG00000024931																				
OG0018210	Anolis_carolinensis_ENSACAG00000016826																				
OG0018211	Anolis_carolinensis_ENSACAG00000023388																				
OG0018212	Anolis_carolinensis_ENSACAG00000028292																				
OG0018213	Anolis_carolinensis_ENSACAG00000002201																				
OG0018214	Anolis_carolinensis_ENSACAG00000022705																				
OG0018215	Anolis_carolinensis_ENSACAG00000013019																				
OG0018216	Anolis_carolinensis_ENSACAG00000028747																				
OG0018217	Anolis_carolinensis_ENSACAG00000029388																				
OG0018218	Anolis_carolinensis_ENSACAG00000002360																				
OG0018219	Anolis_carolinensis_ENSACAG00000009117																				
OG0018220	Anolis_carolinensis_ENSACAG00000024655																				
OG0018221	Anolis_carolinensis_ENSACAG00000023324																				
OG0018222	Anolis_carolinensis_ENSACAG00000023907																				
OG0018223	Anolis_carolinensis_ENSACAG00000024280																				
OG0018224	Anolis_carolinensis_ENSACAG00000028670																				
OG0018225	Anolis_carolinensis_ENSACAG00000017392																				
OG0018226	Anolis_carolinensis_ENSACAG00000022980																				
OG0018227	Anolis_carolinensis_ENSACAG00000028990																				
OG0018228	Anolis_carolinensis_ENSACAG00000005941																				
OG0018229	Anolis_carolinensis_ENSACAG00000002793																				
OG0018230	Anolis_carolinensis_ENSACAG00000025928																				
OG0018231	Anolis_carolinensis_ENSACAG00000022927																				
OG0018232	Anolis_carolinensis_ENSACAG00000028494																				
OG0018233	Anolis_carolinensis_ENSACAG00000026139																				
OG0018234	Anolis_carolinensis_ENSACAG00000024779																				
OG0018235	Anolis_carolinensis_ENSACAG00000000721																				
OG0018236	Anolis_carolinensis_ENSACAG00000008159																				
OG0018237	Anolis_carolinensis_ENSACAG00000023833																				
OG0018238	Anolis_carolinensis_ENSACAG00000028604																				
OG0018239	Anolis_carolinensis_ENSACAG00000022528																				
OG0018240	Anolis_carolinensis_ENSACAG00000012056																				
OG0018241	Anolis_carolinensis_ENSACAG00000022127																				
OG0018242	Anolis_carolinensis_ENSACAG00000024624																				
OG0018243	Anolis_carolinensis_ENSACAG00000005429																				
OG0018244	Anolis_carolinensis_ENSACAG00000026223																				
OG0018245	Anolis_carolinensis_ENSACAG00000012463																				
OG0018246	Anolis_carolinensis_ENSACAG00000027912																				
OG0018247	Anolis_carolinensis_ENSACAG00000017233																				
OG0018248	Anolis_carolinensis_ENSACAG00000023050																				
OG0018249	Anolis_carolinensis_ENSACAG00000000131																				
OG0018250	Anolis_carolinensis_ENSACAG00000014523																				
OG0018251	Anolis_carolinensis_ENSACAG00000029639																				
OG0018252	Anolis_carolinensis_ENSACAG00000021023																				
OG0018253	Anolis_carolinensis_ENSACAG00000014173																				
OG0018254	Anolis_carolinensis_ENSACAG00000007938																				
OG0018255	Anolis_carolinensis_ENSACAG00000025376																				
OG0018256	Anolis_carolinensis_ENSACAG00000028303																				
OG0018257	Anolis_carolinensis_ENSACAG00000028382																				
OG0018258	Anolis_carolinensis_ENSACAG00000003944																				
OG0018259	Anolis_carolinensis_ENSACAG00000015275																				
OG0018260	Anolis_carolinensis_ENSACAG00000025585																				
OG0018261	Anolis_carolinensis_ENSACAG00000015619																				
OG0018262	Anolis_carolinensis_ENSACAG00000022200																				
OG0018263	Anolis_carolinensis_ENSACAG00000000626																				
OG0018264	Anolis_carolinensis_ENSACAG00000029302																				
OG0018265	Anolis_carolinensis_ENSACAG00000014881																				
OG0018266	Anolis_carolinensis_ENSACAG00000022006																				
OG0018267	Anolis_carolinensis_ENSACAG00000025276																				
OG0018268	Anolis_carolinensis_ENSACAG00000029146																				
OG0018269	Anolis_carolinensis_ENSACAG00000028850																				
OG0018270	Anolis_carolinensis_ENSACAG00000028134																				
OG0018271	Anolis_carolinensis_ENSACAG00000014819																				
OG0018272	Anolis_carolinensis_ENSACAG00000027618																				
OG0018273	Anolis_carolinensis_ENSACAG00000022662																				
OG0018274	Anolis_carolinensis_ENSACAG00000013158																				
OG0018275	Anolis_carolinensis_ENSACAG00000000624																				
OG0018276	Anolis_carolinensis_ENSACAG00000010610																				
OG0018277	Anolis_carolinensis_ENSACAG00000029177																				
OG0018278	Anolis_carolinensis_ENSACAG00000011168																				
OG0018279	Anolis_carolinensis_ENSACAG00000025341																				
OG0018280	Anolis_carolinensis_ENSACAG00000010823																				
OG0018281	Anolis_carolinensis_ENSACAG00000012142																				
OG0018282	Anolis_carolinensis_ENSACAG00000025815																				
OG0018283	Anolis_carolinensis_ENSACAG00000000352																				
OG0018284	Anolis_carolinensis_ENSACAG00000016059																				
OG0018285	Anolis_carolinensis_ENSACAG00000027868																				
OG0018286	Anolis_carolinensis_ENSACAG00000004452																				
OG0018287	Anolis_carolinensis_ENSACAG00000007038																				
OG0018288	Anolis_carolinensis_ENSACAG00000022932																				
OG0018289	Anolis_carolinensis_ENSACAG00000025163																				
OG0018290	Anolis_carolinensis_ENSACAG00000002677																				
OG0018291	Anolis_carolinensis_ENSACAG00000004117																				
OG0018292	Anolis_carolinensis_ENSACAG00000026781																				
OG0018293	Anolis_carolinensis_ENSACAG00000029343																				
OG0018294	Anolis_carolinensis_ENSACAG00000022369																				
OG0018295	Anolis_carolinensis_ENSACAG00000025542																				
OG0018296	Anolis_carolinensis_ENSACAG00000016793																				
OG0018297	Anolis_carolinensis_ENSACAG00000027147																				
OG0018298	Anolis_carolinensis_ENSACAG00000025205																				
OG0018299	Anolis_carolinensis_ENSACAG00000000392																				
OG0018300	Anolis_carolinensis_ENSACAG00000014694																				
OG0018301	Anolis_carolinensis_ENSACAG00000025840																				
OG0018302	Anolis_carolinensis_ENSACAG00000026240																				
OG0018303	Anolis_carolinensis_ENSACAG00000026415																				
OG0018304	Anolis_carolinensis_ENSACAG00000026495																				
OG0018305	Anolis_carolinensis_ENSACAG00000028733																				
OG0018306	Anolis_carolinensis_ENSACAG00000028275																				
OG0018307	Anolis_carolinensis_ENSACAG00000028715																				
OG0018308	Anolis_carolinensis_ENSACAG00000028932																				
OG0018309	Anolis_carolinensis_ENSACAG00000008366																				
OG0018310	Anolis_carolinensis_ENSACAG00000022811																				
OG0018311	Anolis_carolinensis_ENSACAG00000000771																				
OG0018312	Anolis_carolinensis_ENSACAG00000000399																				
OG0018313	Anolis_carolinensis_ENSACAG00000024010																				
OG0018314	Anolis_carolinensis_ENSACAG00000006520																				
OG0018315	Anolis_carolinensis_ENSACAG00000024837																				
OG0018316	Anolis_carolinensis_ENSACAG00000029210																				
OG0018317	Anolis_carolinensis_ENSACAG00000004842																				
OG0018318	Anolis_carolinensis_ENSACAG00000028829																				
OG0018319	Anolis_carolinensis_ENSACAG00000027415																				
OG0018320	Anolis_carolinensis_ENSACAG00000028777																				
OG0018321	Anolis_carolinensis_ENSACAG00000026695																				
OG0018322	Anolis_carolinensis_ENSACAG00000003194																				
OG0018323	Anolis_carolinensis_ENSACAG00000025287																				
OG0018324	Anolis_carolinensis_ENSACAG00000014585																				
OG0018325	Anolis_carolinensis_ENSACAG00000001167																				
OG0018326	Anolis_carolinensis_ENSACAG00000028567																				
OG0018327	Anolis_carolinensis_ENSACAG00000000400																				
OG0018328	Anolis_carolinensis_ENSACAG00000028803																				
OG0018329	Anolis_carolinensis_ENSACAG00000022253																				
OG0018330	Anolis_carolinensis_ENSACAG00000029322																				
OG0018331	Anolis_carolinensis_ENSACAG00000014178																				
OG0018332	Anolis_carolinensis_ENSACAG00000006022																				
OG0018333	Anolis_carolinensis_ENSACAG00000014684																				
OG0018334	Anolis_carolinensis_ENSACAG00000014992																				
OG0018335	Anolis_carolinensis_ENSACAG00000003469																				
OG0018336	Anolis_carolinensis_ENSACAG00000000228																				
OG0018337	Anolis_carolinensis_ENSACAG00000029648																				
OG0018338	Anolis_carolinensis_ENSACAG00000023795																				
OG0018339	Anolis_carolinensis_ENSACAG00000026033																				
OG0018340	Anolis_carolinensis_ENSACAG00000001976																				
OG0018341	Anolis_carolinensis_ENSACAG00000008930																				
OG0018342	Anolis_carolinensis_ENSACAG00000007420																				
OG0018343	Anolis_carolinensis_ENSACAG00000023598																				
OG0018344	Anolis_carolinensis_ENSACAG00000009376																				
OG0018345	Anolis_carolinensis_ENSACAG00000026246																				
OG0018346	Anolis_carolinensis_ENSACAG00000029013																				
OG0018347	Anolis_carolinensis_ENSACAG00000001182																				
