liver	ovary	testis
ENSAMEG00000000166	0.3102715	3.200062	4.558641
ENSAMEG00000000167	1.889867	4.695632	4.446759
ENSAMEG00000000168	0.05395057	0.7812506	0.03519695
ENSAMEG00000000169	9.025513	6.957009	6.964768
ENSAMEG00000000170	3.781821	5.747073	6.46671
ENSAMEG00000000171	0.057726	1.009928	1.357062
ENSAMEG00000000172	0	1.961794	2.691
ENSAMEG00000000173	0.4560207	3.227941	1.658691
ENSAMEG00000000174	1.2109	2.650613	0.9127709
ENSAMEG00000000175	5.918014	5.750652	2.675565
ENSAMEG00000000176	0.5029131	1.545152	1.103719
ENSAMEG00000000177	0	0.2792359	0.328655
ENSAMEG00000000178	0.1381618	2.2974	1.690994
ENSAMEG00000000179	1.02461	4.096161	2.948956
ENSAMEG00000000180	2.731244	4.387073	3.304479
ENSAMEG00000000181	0	0	0.2165505
ENSAMEG00000000182	0	0.7653786	1.987252
ENSAMEG00000000183	0.4294499	1.790672	1.295106
ENSAMEG00000000184	1.055591	4.362975	3.88577
ENSAMEG00000000185	0	0.2255279	0.03841975
ENSAMEG00000000186	0.3375981	2.984562	2.399469
ENSAMEG00000000187	3.627292	6.515963	3.730368
ENSAMEG00000000188	1.212202	0.6114463	0.6982203
ENSAMEG00000000189	4.513004	1.048627	1.621032
ENSAMEG00000000190	3.694267	4.691891	3.680561
ENSAMEG00000000191	7.249445	0.4032775	0.1533047
ENSAMEG00000000192	0.0758171	3.653208	1.75529
ENSAMEG00000000193	0.1580435	1.12303	1.946634
ENSAMEG00000000194	0.05887615	1.579422	3.136738
ENSAMEG00000000195	2.828934	4.424452	3.806293
ENSAMEG00000000196	2.493273	4.104571	2.109414
ENSAMEG00000000197	0.07936719	1.388156	0.4291992
ENSAMEG00000000198	0	0	0.4032928
ENSAMEG00000000199	6.849949	5.997929	4.600633
ENSAMEG00000000200	9.383767	11.12295	8.803195
ENSAMEG00000000201	4.642886	5.773511	6.636906
ENSAMEG00000000202	1.829541	4.245214	3.036289
ENSAMEG00000000203	0.08911058	0.05847541	2.912516
ENSAMEG00000000204	0.3583546	0.5975274	0.3313372
ENSAMEG00000000205	3.310797	5.04896	4.125329
ENSAMEG00000000206	2.512664	1.736808	1.801411
ENSAMEG00000000207	2.271494	5.160255	0.8832008
ENSAMEG00000000208	0.0312193	0.1225019	1.850999
ENSAMEG00000000209	0	0	0.6537039
ENSAMEG00000000210	0.6527536	3.607461	4.199602
ENSAMEG00000000211	4.542345	5.277475	6.953905
ENSAMEG00000000212	10.51003	11.24398	10.23932
ENSAMEG00000000213	2.707885	4.534585	3.483532
ENSAMEG00000000214	0	0.1181795	0.1035143
ENSAMEG00000000215	0.5195288	2.672876	2.413854
ENSAMEG00000000216	0.04885359	3.85594	1.028357
ENSAMEG00000000217	0	4.642228	6.482532
ENSAMEG00000000218	0	0	4.331254
ENSAMEG00000000219	0	0	0
ENSAMEG00000000220	1.126458	0.2152362	0.2337421
ENSAMEG00000000221	4.852363	3.987757	5.260459
ENSAMEG00000000222	0	0	0.137733
ENSAMEG00000000223	1.983805	5.923358	3.488939
ENSAMEG00000000224	0.4460095	1.056833	2.659324
ENSAMEG00000000225	0.2457366	0.1965554	0.3399651
ENSAMEG00000000226	8.193254	0	0
ENSAMEG00000000227	10.49294	11.68586	8.650319
ENSAMEG00000000228	2.833548	3.420268	4.774123
ENSAMEG00000000229	3.932156	4.974685	3.417666
ENSAMEG00000000230	3.907356	6.078892	3.290931
ENSAMEG00000000231	1.786488	4.057	5.832518
ENSAMEG00000000232	0	0.1495794	0
ENSAMEG00000000233	0	0	0
ENSAMEG00000000234	0.4491197	3.868103	0.83442
ENSAMEG00000000235	5.085408	6.022701	5.899386
ENSAMEG00000000236	0.3925318	3.031374	3.749341
ENSAMEG00000000237	0	1.550537	4.439428
ENSAMEG00000000238	2.355783	5.469414	4.26836
ENSAMEG00000000239	3.866384	5.987473	3.833902
ENSAMEG00000000240	1.348516	3.580893	2.810287
ENSAMEG00000000241	0.8215878	3.199231	2.580616
ENSAMEG00000000242	0.6974118	3.129044	2.11224
ENSAMEG00000000243	2.273752	3.325392	2.370993
ENSAMEG00000000244	16.11684	0	3.074437
ENSAMEG00000000245	2.610121	0	0.06786144
ENSAMEG00000000246	0.3332039	0.1411241	0
ENSAMEG00000000247	0.1129578	2.0048	0.2609602
ENSAMEG00000000248	11.13642	10.78899	7.524988
ENSAMEG00000000249	0.7966144	3.615546	2.565536
ENSAMEG00000000250	0	0	0
ENSAMEG00000000251	0	0	0.5885513
ENSAMEG00000000252	0.2116751	2.141786	1.498654
ENSAMEG00000000253	0	0	2.816475
ENSAMEG00000000254	1.406901	2.758133	2.779602
ENSAMEG00000000255	4.1995	5.375853	6.720224
ENSAMEG00000000256	0	0	0
ENSAMEG00000000257	0.06708494	0	0.0105148
ENSAMEG00000000258	1.616616	4.073375	3.28689
ENSAMEG00000000259	3.136429	5.841757	4.369446
ENSAMEG00000000260	0.5789136	3.504353	0.156082
ENSAMEG00000000261	9.724145	3.306883	2.11934
ENSAMEG00000000262	3.629706	4.891448	5.383079
ENSAMEG00000000263	0.242133	3.970752	1.78831
ENSAMEG00000000264	0	0.05176549	0.3162906
ENSAMEG00000000265	4.583375	7.248459	6.683584
ENSAMEG00000000266	3.593031	5.969054	3.394015
ENSAMEG00000000267	0.07573045	1.240471	1.334256
ENSAMEG00000000268	6.168831	8.815825	6.723832
ENSAMEG00000000269	0.6280139	0.2535512	0.3621298
ENSAMEG00000000270	1.590568	2.934239	3.049139
ENSAMEG00000000271	0	1.374244	0.8475616
ENSAMEG00000000272	0.3684221	2.101181	1.166746
ENSAMEG00000000273	4.324415	6.274793	4.897168
ENSAMEG00000000274	1.691521	4.650127	3.698896
ENSAMEG00000000275	5.948094	8.517268	6.33061
ENSAMEG00000000276	1.216995	3.303785	3.139468
ENSAMEG00000000277	2.981604	4.09611	2.953152
ENSAMEG00000000278	0.3382955	1.228357	1.229594
ENSAMEG00000000279	0.3782042	0	0.8616172
ENSAMEG00000000280	0.5818641	2.649248	2.631302
ENSAMEG00000000281	0.3175067	3.77272	0.5470174
ENSAMEG00000000282	0.7385266	3.222832	2.38779
ENSAMEG00000000283	0	0.3662713	0.07844862
ENSAMEG00000000284	0.2150797	0.5557396	1.393164
ENSAMEG00000000285	0.5726462	1.042441	3.991563
ENSAMEG00000000286	0	0.138496	0
ENSAMEG00000000287	3.830762	5.686201	6.599108
ENSAMEG00000000288	0.3056122	0.5796822	2.500394
ENSAMEG00000000289	0.1283591	0.1051654	0.1575273
ENSAMEG00000000290	0.9588753	0.5834305	0.2882262
ENSAMEG00000000291	0.06443825	0.4095593	0.3932811
ENSAMEG00000000292	0	4.769915	0
ENSAMEG00000000293	0.02031416	1.487363	1.583052
ENSAMEG00000000294	0.2904787	2.003685	2.054164
ENSAMEG00000000295	2.483093	4.876576	4.811245
ENSAMEG00000000296	6.320311	6.705895	5.034154
ENSAMEG00000000297	0	0	0
ENSAMEG00000000298	0	0.2029079	0.06804517
ENSAMEG00000000299	1.100372	3.60585	3.310855
ENSAMEG00000000300	1.180746	3.970568	2.757981
ENSAMEG00000000301	0.2770195	1.925445	2.049307
ENSAMEG00000000302	2.982081	4.673138	3.982123
ENSAMEG00000000303	1.052478	2.401404	2.927246
ENSAMEG00000000304	0.1046892	0.171039	0
ENSAMEG00000000305	0	0.1995775	0.2697765
ENSAMEG00000000306	0	0	0
ENSAMEG00000000307	0.3324582	1.17122	0.9315416
ENSAMEG00000000308	0	0	0
ENSAMEG00000000309	2.194374	4.601203	3.465387
ENSAMEG00000000310	0.06580403	0.9281603	0.393013
ENSAMEG00000000311	0.1066437	0.8859351	0.5153865
ENSAMEG00000000312	2.511445	4.588073	3.24394
ENSAMEG00000000313	0	0	0
ENSAMEG00000000314	0.0945385	1.709432	0.6597027
ENSAMEG00000000315	3.688862	1.395984	0.5143586
ENSAMEG00000000316	1.448542	0.07209167	0.1381277
ENSAMEG00000000317	0.512956	1.012797	0.05218772
ENSAMEG00000000318	0	0.1451674	0.332339
ENSAMEG00000000319	1.066957	4.504144	2.941499
ENSAMEG00000000320	0	2.731274	0
ENSAMEG00000000321	2.118001	2.908611	1.642544
ENSAMEG00000000322	0.722751	2.94433	2.509354
ENSAMEG00000000323	2.791583	0.09047259	1.334883
ENSAMEG00000000324	0.9199319	2.372069	1.986797
ENSAMEG00000000325	2.036176	3.889289	4.654075
ENSAMEG00000000326	0.05200236	0.2845864	0.7145955
ENSAMEG00000000327	6.749212	7.583752	10.17562
ENSAMEG00000000328	3.196879	6.454622	6.817598
ENSAMEG00000000329	1.642207	3.855222	4.040121
ENSAMEG00000000330	0.2409542	1.22384	4.016303
ENSAMEG00000000331	0.07983206	1.999672	0.08235638
ENSAMEG00000000332	0.02997637	0.18047	0.1973521
ENSAMEG00000000333	1.58191	4.448227	4.842265
ENSAMEG00000000334	0	0.3109241	0.2101594
ENSAMEG00000000335	0.4267478	0.05172053	0.1206751
ENSAMEG00000000336	1.335313	4.703173	3.160201
ENSAMEG00000000337	8.41304	9.374737	8.589644
ENSAMEG00000000338	0.5871393	3.321729	2.502282
ENSAMEG00000000339	0.8773838	3.284732	2.37252
ENSAMEG00000000340	3.532741	6.240454	5.093363
ENSAMEG00000000341	7.036954	0.5348196	0.2731817
ENSAMEG00000000342	2.368117	1.279198	0.6815095
ENSAMEG00000000343	2.63493	4.658657	2.751524
ENSAMEG00000000344	0.6126365	2.096458	1.434914
ENSAMEG00000000345	1.060774	4.780929	4.27701
ENSAMEG00000000346	0.1097056	0.9500077	2.802712
ENSAMEG00000000347	0.7290889	1.50521	0.1621314
ENSAMEG00000000348	5.903397	7.786845	8.761412
ENSAMEG00000000349	0.06798517	0.7763887	4.238466
ENSAMEG00000000350	11.22971	9.664047	10.69196
ENSAMEG00000000351	0	0	1.759914
ENSAMEG00000000352	0.9024711	2.761441	3.372706
ENSAMEG00000000353	4.699718	5.873845	3.06526
ENSAMEG00000000354	0	0	1.888274
ENSAMEG00000000355	3.080804	4.346248	3.555534
ENSAMEG00000000356	0	0	1.727916
ENSAMEG00000000357	8.180118	7.408134	4.042592
ENSAMEG00000000358	0	0	1.677946
ENSAMEG00000000359	1.167705	3.096643	3.814684
ENSAMEG00000000360	1.263351	2.694934	2.214377
ENSAMEG00000000361	1.244485	1.531973	0.05837081
ENSAMEG00000000362	3.323612	6.11639	4.920427
ENSAMEG00000000363	3.939493	1.571361	0.221706
ENSAMEG00000000364	3.4331	5.578223	5.718967
ENSAMEG00000000365	1.618286	3.994435	3.111113
ENSAMEG00000000366	2.739747	3.894643	5.221142
ENSAMEG00000000367	0.2245664	0.9741328	0.2826201
ENSAMEG00000000368	0.5749318	2.832214	1.709882
ENSAMEG00000000369	2.049192	4.104437	4.362596
ENSAMEG00000000370	2.491191	4.400845	3.228602
ENSAMEG00000000371	0.5108161	1.379144	0.4849754
ENSAMEG00000000372	0.1906187	0.8652371	0.8499016
ENSAMEG00000000373	4.022714	2.438639	1.449625
ENSAMEG00000000374	1.760017	2.078992	2.078224
ENSAMEG00000000375	6.394903	7.188223	4.708154
ENSAMEG00000000376	4.660415	3.834378	5.687528
ENSAMEG00000000377	0.09371147	2.54583	0.4334723
ENSAMEG00000000378	0.187731	0.8293609	0.1886959
ENSAMEG00000000379	2.965404	5.843195	6.05262
ENSAMEG00000000380	3.76237	3.467671	3.980153
ENSAMEG00000000381	3.256529	5.597412	1.499803
ENSAMEG00000000382	0.2360885	1.327912	0.8505122
ENSAMEG00000000383	0	0.3343989	0.02334209
ENSAMEG00000000384	0.3711808	2.025397	4.749127
ENSAMEG00000000385	3.433288	5.825702	4.467664
ENSAMEG00000000386	2.587792	0	0
ENSAMEG00000000387	4.434928	8.739901	8.308873
ENSAMEG00000000388	0.4081368	2.17653	4.652653
ENSAMEG00000000389	1.686895	3.887827	2.781788
ENSAMEG00000000390	0	0.2875893	1.122633
ENSAMEG00000000391	0	0	0
ENSAMEG00000000392	0	0	0.4006177
ENSAMEG00000000393	0.8803956	2.551954	2.195527
ENSAMEG00000000394	0.02820307	0.3237345	0.1456329
ENSAMEG00000000395	3.420702	3.795216	4.166121
ENSAMEG00000000396	0.2477064	0	0.1093212
ENSAMEG00000000397	0.05008051	3.179263	1.724637
ENSAMEG00000000398	3.531943	0	0
ENSAMEG00000000399	1.962127	4.587371	2.868673
ENSAMEG00000000400	0.4213984	2.219305	0.7290254
ENSAMEG00000000401	0.1519004	3.053506	1.321934
ENSAMEG00000000402	0	0.06851302	3.721099
ENSAMEG00000000403	0	0.6027125	0.2322039
ENSAMEG00000000404	0	0.619859	0.2669508
ENSAMEG00000000405	0.03824077	2.039395	0.2379901
ENSAMEG00000000406	2.236324	2.312256	1.481604
ENSAMEG00000000407	0	0	6.106664
ENSAMEG00000000408	2.583907	4.567977	4.613272
ENSAMEG00000000409	1.612801	3.592876	4.770369
ENSAMEG00000000410	1.878965	3.674336	1.716868
ENSAMEG00000000411	3.063465	4.802483	4.283255
ENSAMEG00000000412	2.830795	4.872193	3.981999
ENSAMEG00000000413	0	0	5.620009
ENSAMEG00000000414	3.38732	5.675203	5.031841
ENSAMEG00000000415	1.289993	4.539506	5.28911
ENSAMEG00000000416	4.043843	6.695284	5.966908
ENSAMEG00000000417	2.032334	4.052798	3.155333
ENSAMEG00000000418	0.2938131	2.336001	6.460145
ENSAMEG00000000419	0.0737166	0.7848256	0.1899649
ENSAMEG00000000420	0	0.6628627	0.04898761
ENSAMEG00000000421	0.2967323	2.291692	1.968231
ENSAMEG00000000422	1.982656	3.505383	1.495685
ENSAMEG00000000423	0	0.3860417	0.0852253
ENSAMEG00000000424	0	0	0
ENSAMEG00000000425	4.623018	5.297103	3.328825
ENSAMEG00000000426	0	0.6967986	0
ENSAMEG00000000427	0	0	0.08238037
ENSAMEG00000000428	0	0.2951341	0.4716599
ENSAMEG00000000429	0.2111642	2.021128	2.808198
ENSAMEG00000000430	0	3.986529	5.958441
ENSAMEG00000000431	0	0	0
ENSAMEG00000000432	0.08279877	2.959512	2.172027
ENSAMEG00000000433	3.415668	4.438858	2.79236
ENSAMEG00000000434	1.094168	1.270649	3.148104
ENSAMEG00000000435	0	0	0
ENSAMEG00000000436	0	1.017673	1.686052
ENSAMEG00000000437	1.49418	0	0
ENSAMEG00000000438	0	0.2789411	0.8122501
ENSAMEG00000000439	1.25867	5.811173	2.517475
ENSAMEG00000000440	1.189426	3.826426	3.186379
ENSAMEG00000000441	0	1.107166	0.438444
ENSAMEG00000000442	0	0	0.1754607
ENSAMEG00000000443	0.09322441	4.220531	1.504575
ENSAMEG00000000444	0.3597382	2.260679	0.9284552
ENSAMEG00000000445	2.453544	5.504649	2.820935
ENSAMEG00000000446	0.8540946	4.570554	3.722739
ENSAMEG00000000447	1.168912	3.328857	2.910126
ENSAMEG00000000448	0.3106403	4.149365	0.9464277
ENSAMEG00000000449	0	0	0
ENSAMEG00000000450	2.670951	4.878465	5.582243
ENSAMEG00000000451	0.6937987	0.906171	0.1166493
ENSAMEG00000000452	3.48989	5.311172	6.328707
ENSAMEG00000000453	0	0	1.937408
ENSAMEG00000000454	0	0.1204675	1.870015
ENSAMEG00000000455	3.041164	4.796878	1.237215
ENSAMEG00000000456	9.608802	0	2.191389
ENSAMEG00000000457	4.397728	6.101045	5.290988
ENSAMEG00000000458	0	2.016935	0
ENSAMEG00000000459	0.1735394	2.075786	0.6475742
ENSAMEG00000000460	1.188274	2.304076	0.6347847
ENSAMEG00000000461	0	0.1609228	0.132259
ENSAMEG00000000462	0	0.8305296	2.835471
ENSAMEG00000000463	0	0	0
ENSAMEG00000000464	2.778089	5.10351	2.161388
ENSAMEG00000000465	0	0.6804531	4.16804
ENSAMEG00000000466	0	1.062571	0.6585058
ENSAMEG00000000467	3.86579	2.894622	4.018278
ENSAMEG00000000468	0	0.1048884	2.23679
ENSAMEG00000000469	3.45188	2.749517	3.860705
ENSAMEG00000000470	0.1134119	1.067811	2.904395
ENSAMEG00000000471	1.533728	5.198349	3.218879
ENSAMEG00000000472	0	0	0
ENSAMEG00000000473	0.07201605	1.1692	3.756799
ENSAMEG00000000474	0	0.7440784	2.643955
ENSAMEG00000000475	0.07189883	1.631542	0.8897367
ENSAMEG00000000476	3.212378	4.874772	4.285802
ENSAMEG00000000477	6.18086	7.329079	9.075829
ENSAMEG00000000478	0.6793397	3.078713	2.003626
ENSAMEG00000000479	0.8867218	0	0.5355742
ENSAMEG00000000480	0.8482381	5.190658	3.553066
ENSAMEG00000000481	3.40747	5.140701	3.016833
ENSAMEG00000000482	0.4501507	0.1330679	0.6838563
ENSAMEG00000000483	0.05829447	0.1455509	4.926977
ENSAMEG00000000484	0.4568629	0.2609506	4.782466
ENSAMEG00000000485	0.2991298	1.365172	1.486236
ENSAMEG00000000486	4.326501	3.38241	2.531209
ENSAMEG00000000487	4.024054	5.080538	4.88905
ENSAMEG00000000488	2.125453	4.701665	1.491027
ENSAMEG00000000489	0.3786503	1.099928	1.831715
ENSAMEG00000000490	1.714527	4.249392	5.442084
ENSAMEG00000000491	4.33729	5.412257	4.261147
ENSAMEG00000000492	0.5564245	3.812745	3.109912
ENSAMEG00000000493	0	0.5120569	0
ENSAMEG00000000494	7.886477	8.208673	9.099698
ENSAMEG00000000495	2.473909	5.083218	5.006644
ENSAMEG00000000496	1.60296	2.672833	4.057996
ENSAMEG00000000497	0.3168721	2.481105	0.7552004
ENSAMEG00000000498	0.6949577	3.487962	2.945596
ENSAMEG00000000499	1.529686	2.977839	4.029091
ENSAMEG00000000500	0	0	0.2398526
ENSAMEG00000000501	0.8341602	3.301807	3.850349
ENSAMEG00000000502	0	3.376438	0.9198069
ENSAMEG00000000503	0.8109514	4.296252	1.327578
ENSAMEG00000000504	0.5510927	4.056393	1.94484
ENSAMEG00000000505	0.6339742	2.246223	0.7084645
ENSAMEG00000000506	2.121987	3.307777	3.684044
ENSAMEG00000000507	2.201938	4.239322	6.846957
ENSAMEG00000000508	0.5396978	3.713135	1.006671
ENSAMEG00000000509	0.5142425	2.873416	1.129751
ENSAMEG00000000510	0.1264532	3.484177	0.2292815
ENSAMEG00000000511	1.232256	0.6766312	1.089742
ENSAMEG00000000512	0.70916	6.27651	4.012444
ENSAMEG00000000513	0	0.9634919	0
ENSAMEG00000000514	0	0.09523703	1.759113
ENSAMEG00000000515	2.348383	2.24749	1.605812
ENSAMEG00000000516	3.398758	6.368571	5.835166
ENSAMEG00000000517	1.370092	5.284025	3.247897
ENSAMEG00000000518	0.8175504	1.783591	0.8656314
ENSAMEG00000000519	0	4.775756	2.154382
ENSAMEG00000000520	1.412668	3.99237	3.860615
ENSAMEG00000000521	0.4959499	1.900011	2.149146
ENSAMEG00000000522	0.5380226	3.122799	1.11366
ENSAMEG00000000523	3.860168	0	3.975832
ENSAMEG00000000524	3.248556	5.777104	4.150048
ENSAMEG00000000525	0.2174715	2.864406	1.055876
ENSAMEG00000000526	4.107671	7.576409	5.870885
ENSAMEG00000000527	0.03059373	1.91224	0.5262632
ENSAMEG00000000528	1.103276	3.90271	2.213521
ENSAMEG00000000529	0.114472	1.409869	4.72531
ENSAMEG00000000530	0.2170843	2.593688	0
